                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2723,                 4.0672,                 4.2077,                0.00429,                0.40606,                0.00616,                0.00225,                 2.9899,                   4.03,                 4.1197,             0.00040698,             0.00040698,             0.00040698
                      2,                 3.1752,                 3.5425,                 3.8987,                0.00464,                0.44275,                0.01677,                0.00391,                 3.1216,                 3.8607,                 4.0806,             0.00081549,             0.00081549,             0.00081549
                      3,                 2.8826,                 3.3074,                 3.4924,                0.81607,                0.06473,                0.06618,                0.01061,                 3.0376,                 4.6351,                 3.8751,              0.0012158,              0.0012158,              0.0012158
                      4,                 2.5834,                  3.113,                  3.182,                0.56644,                0.14021,                0.10496,                0.03986,                 2.5394,                 6.9048,                 3.5582,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.4011,                 2.9252,                 2.9605,                0.17217,                0.35128,                0.14254,                0.04853,                 2.3125,                 4.0125,                 3.0972,              0.0012129,              0.0012129,              0.0012129
                      6,                 2.3411,                 2.8157,                 2.8617,                0.70708,                0.19256,                0.23561,                0.09919,                 2.2324,                 3.2754,                  2.885,              0.0012005,              0.0012005,              0.0012005
                      7,                 2.1377,                 2.5877,                  2.653,                 0.4937,                0.33386,                0.30242,                0.14111,                 2.0912,                 3.0568,                 2.7521,              0.0011881,              0.0011881,              0.0011881
                      8,                 2.0555,                 2.4316,                 2.5464,                0.53477,                0.33237,                0.32944,                0.15593,                 2.0259,                 2.7218,                 2.6662,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.9662,                 2.2912,                 2.4522,                0.53386,                0.46233,                0.44119,                0.23839,                 1.8749,                 2.2096,                 2.5133,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.8807,                 2.1366,                 2.3828,                0.56824,                0.49674,                0.53866,                 0.3166,                 1.8206,                  2.438,                 2.3818,               0.001151,               0.001151,               0.001151
                     11,                 1.8394,                 2.0928,                 2.3076,                0.55163,                0.55056,                0.53674,                0.23399,                 1.9313,                 2.0464,                  2.524,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.7626,                 2.0181,                 2.2434,                0.60655,                0.49438,                0.56523,                0.28658,                 1.8202,                  2.044,                 2.3486,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.6609,                 1.9331,                 2.1589,                0.70642,                0.57339,                0.63806,                 0.3564,                 1.6658,                 1.7425,                 2.2824,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.6622,                 1.8509,                 2.1475,                0.72235,                0.55532,                0.65556,                0.38745,                 1.6111,                 1.9295,                 2.1578,              0.0011015,              0.0011015,              0.0011015
                     15,                  1.599,                 1.7234,                 2.0531,                0.47069,                0.46786,                0.46468,                0.27063,                 1.6594,                 2.0545,                 2.2825,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.5552,                  1.726,                 2.0399,                0.67291,                0.62758,                0.66064,                0.38339,                 1.5955,                 1.6198,                 2.1953,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.5537,                 1.6652,                 2.0184,                0.76069,                0.58418,                0.68731,                0.43873,                 1.4954,                  1.616,                 2.0387,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.5193,                 1.6754,                 1.9834,                0.73209,                0.63115,                 0.7298,                0.44346,                 1.4674,                 1.5835,                 2.0255,               0.001052,               0.001052,               0.001052
                     19,                 1.4709,                 1.5969,                 1.9466,                0.79779,                0.66781,                0.74585,                0.46305,                 1.4304,                 1.4807,                 2.0186,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.4192,                 1.5079,                 1.8874,                0.75148,                0.69593,                  0.775,                0.48129,                 1.4144,                 1.4066,                 2.0021,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.4349,                 1.5131,                 1.8993,                0.71434,                0.66393,                0.72084,                0.45334,                 1.4897,                 1.4995,                 2.0425,              0.0010149,              0.0010149,              0.0010149
                     22,                  1.396,                  1.473,                 1.8737,                 0.8182,                0.69725,                0.78671,                0.49377,                 1.4368,                   1.35,                 1.9426,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.3605,                   1.41,                 1.8263,                0.73895,                0.68008,                0.75939,                0.45784,                 1.5039,                 1.5457,                 2.1044,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.3704,                 1.4027,                 1.8395,                0.77708,                 0.7125,                 0.7768,                0.47884,                 1.4272,                 1.4186,                 1.9597,             0.00097775,             0.00097775,             0.00097775
                     25,                  1.375,                 1.3877,                 1.8108,                0.84645,                0.72032,                0.80588,                0.50329,                 1.4586,                 1.3069,                 1.9867,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.3334,                 1.3691,                 1.7942,                0.82747,                0.72709,                0.80791,                0.51836,                  1.299,                 1.2738,                 1.8661,               0.000953,               0.000953,               0.000953
                     27,                 1.3022,                 1.3212,                 1.7617,                 0.7942,                0.71445,                0.77957,                0.50053,                 1.3422,                 1.3622,                 1.8883,             0.00094062,             0.00094062,             0.00094062
                     28,                  1.343,                 1.3595,                 1.7841,                0.85389,                0.70326,                0.80978,                 0.5131,                 1.3792,                 1.3242,                 1.8986,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.2926,                 1.3441,                 1.7397,                0.67595,                0.73763,                0.72536,                0.44395,                 1.5441,                 1.4396,                      2,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.2557,                 1.2452,                 1.7225,                0.74622,                0.68316,                0.79346,                0.53482,                 1.2643,                 1.3802,                 1.8257,              0.0009035,              0.0009035,              0.0009035
                     31,                   1.26,                 1.2377,                 1.7206,                0.80899,                0.74744,                0.83108,                0.53833,                 1.2887,                 1.2197,                 1.8288,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.2293,                 1.2327,                 1.6889,                0.72781,                 0.7209,                0.77613,                0.51375,                 1.2511,                 1.2804,                 1.7918,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.2114,                 1.1973,                 1.6594,                0.86117,                0.76333,                0.85021,                  0.552,                 1.2788,                 1.1284,                 1.8125,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.2535,                 1.1986,                 1.6951,                0.77259,                0.69731,                0.78127,                0.51397,                 1.2938,                 1.3382,                 1.8388,               0.000854,               0.000854,               0.000854
                     35,                 1.2182,                 1.1783,                 1.6823,                0.83728,                0.77944,                0.83302,                 0.5574,                 1.2895,                 1.1762,                 1.8002,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.1967,                 1.1432,                 1.6685,                 0.7973,                0.78983,                0.83631,                0.55371,                 1.2889,                 1.2079,                 1.8021,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.1984,                 1.1448,                  1.653,                0.85616,                0.76258,                0.85429,                0.58372,                 1.1733,                 1.0691,                 1.7109,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.1784,                 1.1231,                 1.6486,                0.85533,                 0.7746,                0.86178,                0.59647,                 1.1856,                 1.0474,                   1.73,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.1477,                 1.0797,                 1.6178,                0.85386,                 0.7526,                0.84529,                 0.5832,                 1.2076,                 1.0703,                 1.7235,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.1576,                 1.1279,                 1.6363,                0.80551,                0.78817,                0.85815,                0.59147,                 1.1718,                 1.0855,                 1.6972,             0.00077975,             0.00077975,             0.00077975
                     41,                  1.127,                 1.0678,                 1.5976,                0.83063,                 0.7497,                0.83414,                0.57954,                 1.1914,                 1.2416,                 1.7363,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.1433,                 1.0736,                  1.614,                0.82785,                0.78499,                0.83146,                0.56891,                 1.1879,                 1.1194,                  1.726,               0.000755,               0.000755,               0.000755
                     43,                 1.1567,                 1.0674,                 1.6228,                0.88966,                0.74897,                0.85129,                0.59949,                  1.168,                 1.1015,                 1.6903,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.1384,                 1.0412,                 1.5991,                0.83171,                0.79081,                0.87205,                0.58278,                 1.2271,                 1.0779,                 1.7477,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.1016,                 1.0057,                 1.5718,                0.87965,                0.78882,                0.86533,                0.59491,                 1.1947,                 1.0237,                 1.7117,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.1135,                 1.0397,                 1.5735,                0.90235,                0.79132,                0.87623,                0.60252,                 1.1836,                 1.0396,                  1.731,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.0742,                0.99444,                 1.5477,                0.88818,                0.81585,                0.87539,                0.59411,                 1.2092,                 1.0019,                 1.6888,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.1333,                 1.0085,                 1.5654,                0.88851,                0.77206,                0.85723,                0.60078,                 1.1901,                 1.0788,                 1.6913,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.0845,                0.96753,                 1.5424,                0.85576,                0.83262,                0.88779,                0.61954,                 1.1321,                0.96167,                 1.6777,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.0945,                 1.0019,                 1.5548,                0.88345,                0.82119,                0.88048,                0.61707,                 1.1553,                0.93888,                 1.6719,               0.000656,               0.000656,               0.000656
                     51,                 1.0639,                0.97682,                 1.5335,                0.84873,                0.79725,                0.87276,                 0.6146,                 1.1005,                 1.0137,                 1.6191,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.0684,                0.95181,                 1.5262,                0.90059,                 0.7837,                0.87789,                0.62415,                 1.1175,                 1.0086,                 1.6324,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.0672,                0.97035,                 1.5379,                 0.7833,                0.81382,                0.86136,                0.59401,                 1.1838,                 1.0871,                 1.6707,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.0457,                0.93953,                 1.5031,                0.86405,                0.78255,                0.86787,                0.62039,                 1.1035,                 1.0019,                 1.6291,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.0653,                0.96623,                 1.5467,                0.88373,                0.82139,                0.89226,                0.62024,                 1.1124,                0.93358,                 1.6286,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.0303,                 0.9279,                 1.4955,                0.87787,                0.79886,                0.86113,                0.60139,                 1.1755,                 1.0335,                 1.6963,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.0438,                0.94404,                 1.5119,                0.86599,                0.82132,                0.87449,                0.61499,                 1.1264,                0.94698,                 1.6432,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.0386,                 0.9335,                 1.5136,                0.86793,                0.81132,                0.88512,                0.63437,                 1.0968,                0.93131,                 1.6015,               0.000557,               0.000557,               0.000557
                     59,                 1.0152,                0.90793,                   1.48,                0.88184,                 0.8456,                0.89169,                0.63584,                 1.0797,                0.88256,                 1.5797,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.0115,                0.92047,                 1.4836,                0.87648,                0.82159,                0.88628,                0.60871,                 1.1364,                0.95364,                 1.6308,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.0472,                0.94602,                 1.5154,                0.89352,                0.81009,                0.88095,                0.62787,                 1.0998,                0.94403,                 1.6083,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.0094,                0.91944,                 1.4835,                0.86656,                 0.8442,                0.88578,                0.62537,                  1.074,                0.90484,                  1.583,              0.0005075,              0.0005075,              0.0005075
                     63,                0.99261,                0.87763,                 1.4726,                0.89466,                0.83661,                 0.8933,                0.63408,                 1.0666,                0.84844,                 1.6004,             0.00049513,             0.00049513,             0.00049513
                     64,                 0.9815,                0.88125,                 1.4618,                0.87684,                0.80767,                0.89011,                0.63254,                 1.0958,                0.92359,                 1.6119,             0.00048275,             0.00048275,             0.00048275
                     65,                0.98448,                0.87001,                 1.4538,                0.86564,                0.82896,                0.88283,                0.63249,                 1.0863,                0.89275,                 1.5728,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.0272,                0.87871,                 1.4905,                0.87657,                0.84813,                 0.8959,                0.65069,                 1.0443,                0.86813,                 1.5442,               0.000458,               0.000458,               0.000458
                     67,                 0.9818,                0.83796,                 1.4505,                0.91078,                0.81194,                0.88949,                0.62773,                 1.0971,                0.91981,                 1.5947,             0.00044563,             0.00044563,             0.00044563
                     68,                0.97204,                0.83098,                 1.4506,                0.88994,                0.82131,                0.89328,                0.63744,                 1.0687,                0.87417,                 1.5752,             0.00043325,             0.00043325,             0.00043325
                     69,                0.98802,                0.84943,                 1.4678,                0.87349,                0.82773,                0.88422,                0.62632,                 1.0906,                0.94072,                 1.5809,             0.00042087,             0.00042087,             0.00042087
                     70,                0.97632,                0.84991,                 1.4585,                0.88659,                 0.8346,                0.89992,                0.63748,                 1.0868,                0.83879,                 1.5681,              0.0004085,              0.0004085,              0.0004085
                     71,                0.99013,                0.83526,                 1.4842,                0.88646,                0.84332,                0.89965,                0.63849,                 1.0745,                0.83571,                  1.593,             0.00039613,             0.00039613,             0.00039613
                     72,                0.98191,                0.84701,                 1.4572,                0.87193,                0.84492,                0.88554,                0.62948,                 1.0833,                0.89654,                  1.599,             0.00038375,             0.00038375,             0.00038375
                     73,                 0.9688,                0.85352,                 1.4535,                0.92817,                0.81407,                 0.8918,                0.64186,                  1.053,                0.88525,                 1.5754,             0.00037138,             0.00037138,             0.00037138
                     74,                0.93848,                0.80874,                  1.426,                0.90784,                0.82408,                0.89628,                0.63634,                 1.0764,                0.89975,                 1.5761,               0.000359,               0.000359,               0.000359
                     75,                0.93558,                0.83234,                 1.4262,                 0.9127,                   0.84,                0.91123,                0.64977,                 1.0496,                0.83598,                 1.5534,             0.00034663,             0.00034663,             0.00034663
                     76,                0.93131,                0.80408,                 1.4151,                0.88163,                0.83382,                0.90015,                0.64489,                  1.048,                0.85105,                 1.5295,             0.00033425,             0.00033425,             0.00033425
                     77,                 0.9158,                0.79685,                 1.4123,                0.90551,                 0.8595,                0.90257,                0.64377,                 1.0467,                0.84683,                 1.5462,             0.00032188,             0.00032188,             0.00032188
                     78,                0.91714,                0.78218,                 1.4048,                0.90362,                0.86024,                0.91062,                0.66045,                 1.0252,                0.81165,                 1.5381,              0.0003095,              0.0003095,              0.0003095
                     79,                0.90971,                0.77456,                 1.4014,                0.89803,                0.84648,                0.90072,                0.65239,                 1.0482,                0.83455,                 1.5488,             0.00029713,             0.00029713,             0.00029713
                     80,                0.92286,                0.77627,                  1.406,                0.89751,                0.84108,                0.89945,                0.64832,                 1.0482,                0.85494,                 1.5666,             0.00028475,             0.00028475,             0.00028475
                     81,                0.92619,                 0.7848,                 1.4241,                 0.8928,                 0.8127,                0.88104,                0.63716,                 1.0797,                0.87083,                 1.5803,             0.00027237,             0.00027237,             0.00027237
                     82,                0.89778,                0.75713,                 1.3825,                0.92724,                0.83744,                0.90505,                0.65025,                  1.033,                0.81375,                 1.5414,                0.00026,                0.00026,                0.00026
                     83,                0.90649,                0.76701,                 1.3926,                0.90163,                0.84187,                0.90587,                 0.6494,                  1.041,                  0.862,                 1.5314,             0.00024762,             0.00024762,             0.00024762
                     84,                0.93069,                0.78678,                 1.4169,                0.94087,                0.84534,                0.92408,                   0.67,                 1.0065,                0.75989,                 1.5151,             0.00023525,             0.00023525,             0.00023525
                     85,                0.88245,                 0.7547,                 1.3829,                0.90169,                0.85159,                 0.9002,                0.64203,                 1.0671,                0.86275,                 1.5811,             0.00022288,             0.00022288,             0.00022288
                     86,                0.91918,                0.76691,                 1.3995,                0.89741,                0.84307,                0.89873,                0.65103,                 1.0223,                0.83108,                 1.5323,              0.0002105,              0.0002105,              0.0002105
                     87,                0.89278,                0.74584,                 1.3896,                0.91577,                0.83346,                0.90682,                0.66104,                 1.0198,                 0.8131,                 1.5259,             0.00019813,             0.00019813,             0.00019813
                     88,                0.88377,                0.74697,                 1.3798,                0.90167,                0.83014,                0.90508,                0.65812,                 1.0136,                0.83629,                 1.5285,             0.00018575,             0.00018575,             0.00018575
                     89,                0.87664,                0.74409,                 1.3781,                0.89794,                0.84266,                0.90275,                0.65945,                 1.0245,                0.83444,                 1.5248,             0.00017338,             0.00017338,             0.00017338
                     90,                0.86561,                0.72414,                 1.3728,                0.91934,                0.85106,                 0.9141,                0.66854,                0.99633,                0.78095,                 1.4935,               0.000161,               0.000161,               0.000161
                     91,                0.77533,                0.62133,                 1.3022,                0.92273,                0.83169,                0.90451,                0.64856,                 1.0449,                0.85007,                  1.558,             0.00014862,             0.00014862,             0.00014862
                     92,                0.73918,                0.58124,                 1.2939,                0.93402,                 0.8321,                0.91132,                0.66193,                 1.0109,                0.78649,                  1.514,             0.00013625,             0.00013625,             0.00013625
                     93,                0.75277,                0.59877,                 1.2857,                0.93083,                0.83017,                 0.9111,                0.66141,                 1.0246,                0.79738,                 1.5351,             0.00012387,             0.00012387,             0.00012387
                     94,                0.72451,                0.57878,                 1.2641,                0.92204,                0.83555,                0.91035,                 0.6711,                 1.0056,                0.78554,                 1.5195,              0.0001115,              0.0001115,              0.0001115
                     95,                0.71879,                0.56622,                 1.2555,                   0.92,                 0.8489,                 0.9116,                0.66171,                 1.0252,                0.79325,                  1.529,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.73419,                0.58438,                  1.265,                0.90175,                0.86112,                0.91336,                0.66114,                 1.0218,                0.78526,                  1.532,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.72189,                0.56414,                 1.2684,                 0.9116,                0.86298,                0.91746,                0.66964,                 1.0073,                0.76721,                 1.5164,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.70569,                0.55073,                 1.2413,                 0.9198,                0.84554,                0.91206,                0.66836,                 1.0163,                0.79713,                 1.5311,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.69943,                0.56012,                 1.2467,                0.91733,                0.84468,                0.91172,                0.67299,                0.99354,                0.78877,                 1.5072,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.70955,                0.55333,                 1.2461,                0.91938,                0.85661,                0.91533,                0.66763,                0.99588,                0.76869,                 1.5079,              3.725e-05,              3.725e-05,              3.725e-05
